rank,route,city1,city2,total_pax,weight_traffic_within_basket,share_of_national_traffic,tier
1,BOM-DEL,Mumbai,Delhi,6850869,0.058515867439030526,0.04138455344530367,Tier 1
2,BLR-DEL,Bengaluru,Delhi,4681042,0.03998255303794808,0.028277118250065972,Tier 1
3,BLR-BOM,Bengaluru,Mumbai,4114574,0.03514413525526201,0.024855212909144362,Tier 1
4,DEL-HYD,Delhi,Hyderabad,3295918,0.028151684228367908,0.019909896776940036,Tier 1
5,DEL-PNQ,Delhi,Pune,2924045,0.02497537605897296,0.01766349591255839,Tier 1
6,CCU-DEL,Kolkata,Delhi,2770386,0.023662916329438795,0.01673527657310643,Tier 1
7,DEL-GOI,Delhi,Goa,2567403,0.02192916163052735,0.01550910208166774,Tier 1
8,AMD-DEL,Ahmedabad,Delhi,2537042,0.02166983682789043,0.015325698132890897,Tier 1
9,BOM-GOI,Mumbai,Goa,2482241,0.021201760726664978,0.014994657660017152,Tier 1
10,DEL-MAA,Delhi,Chennai,2452761,0.020949960878776687,0.014816575633405995,Tier 1
11,BOM-HYD,Mumbai,Hyderabad,2353279,0.020100247430078478,0.014215627323659347,Tier 1
12,BLR-CCU,Bengaluru,Kolkata,2326980,0.019875617708246248,0.01405676100012316,Tier 1
13,DEL-SXR,Delhi,Srinagar,2315422,0.01977689645173699,0.013986941730666858,Tier 1
14,BLR-HYD,Bengaluru,Hyderabad,2293602,0.01959052356568127,0.01385513203525792,Tier 1
15,BOM-CCU,Mumbai,Kolkata,2166364,0.018503735606196517,0.013086515993807772,Tier 1
16,BOM-MAA,Mumbai,Chennai,2112927,0.018047309945694257,0.012763715137090662,Tier 2
17,AMD-BOM,Ahmedabad,Mumbai,2101443,0.017949220751218367,0.01269434288493318,Tier 2
18,BLR-PNQ,Bengaluru,Pune,1881109,0.01606726458823943,0.011363354918469723,Tier 2
19,BLR-GOI,Bengaluru,Goa,1698967,0.014511520765509803,0.010263076204392063,Tier 2
20,HYD-MAA,Hyderabad,Chennai,1573825,0.013442635536051298,0.009507121625892286,Tier 2
21,DEL-GAU,Delhi,Guwahati,1538643,0.013142132746078235,0.009294595104174724,Tier 2
22,BLR-COK,Bengaluru,Kochi,1485148,0.012685211685603872,0.008971443882547727,Tier 2
23,BLR-MAA,Bengaluru,Chennai,1474948,0.01259808962154483,0.008909827984602211,Tier 2
24,DEL-LKO,Delhi,Lucknow,1439073,0.012291667656043047,0.008693115206288939,Tier 2
25,GOI-HYD,Goa,Hyderabad,1371822,0.011717251388392587,0.008286867093275814,Tier 2
26,DEL-PAT,Delhi,Patna,1351643,0.011544894904995781,0.008164970308506934,Tier 2
27,ATQ-DEL,Amritsar,Delhi,1277640,0.010912807247489765,0.007717934887363601,Tier 2
28,BOM-JAI,Mumbai,Jaipur,1205825,0.010299408126862298,0.007284116680407012,Tier 2
29,CCU-HYD,Kolkata,Hyderabad,1175993,0.010044601713626086,0.007103908301239303,Tier 2
